"index","x","y","letter","order"
"1",0,0.578563995837669,"0",1
"2",0.00177619893428064,0.579604578563996,"0",2
"3",0.00355239786856128,0.633714880332987,"0",3
"4",0.0142095914742451,0.689906347554631,"0",4
"5",0.0230905861456483,0.720083246618106,"0",5
"6",0.0408525754884547,0.761706555671176,"0",6
"7",0.0674955595026643,0.806451612903226,"0",7
"8",0.0976909413854352,0.843912591050989,"0",8
"9",0.117229129662522,0.863683662851197,"0",9
"10",0.165186500888099,0.90426638917794,"0",10
"11",0.216696269982238,0.936524453694069,"0",11
"12",0.269982238010657,0.96149843912591,"0",12
"13",0.319715808170515,0.978147762747138,"0",13
"14",0.358792184724689,0.987513007284079,"0",14
"15",0.403197158081705,0.994797086368366,"0",15
"16",0.465364120781528,1,"0",16
"17",0.532859680284192,1,"0",17
"18",0.564831261101243,0.997918834547347,"0",18
"19",0.635879218472469,0.988553590010406,"0",19
"20",0.676731793960924,0.979188345473465,"0",20
"21",0.719360568383659,0.966701352757544,"0",21
"22",0.783303730017762,0.939646201873049,"0",22
"23",0.825932504440497,0.914672216441207,"0",23
"24",0.845470692717584,0.900104058272633,"0",24
"25",0.873889875666075,0.873048907388137,"0",25
"26",0.928952042628774,0.806451612903226,"0",26
"27",0.962699822380107,0.753381893860562,"0",27
"28",0.985790408525755,0.697190426638918,"0",28
"29",0.994671403197158,0.660770031217482,"0",29
"30",1,0.621227887617066,"0",30
"31",1,0.387096774193548,"0",31
"32",0.991119005328597,0.32258064516129,"0",32
"33",0.978685612788632,0.279916753381894,"0",33
"34",0.960923623445826,0.238293444328824,"0",34
"35",0.937833037300178,0.198751300728408,"0",35
"36",0.904085257548846,0.156087408949011,"0",36
"37",0.870337477797513,0.122788761706556,"0",37
"38",0.827708703374778,0.0894901144640999,"0",38
"39",0.781527531083481,0.0613943808532778,"0",39
"40",0.763765541740675,0.0520291363163371,"0",40
"41",0.72113676731794,0.0343392299687825,"0",41
"42",0.682060390763766,0.0218522372528616,"0",42
"43",0.648312611012433,0.0135275754422477,"0",43
"44",0.600355239786856,0.00520291363163371,"0",44
"45",0.557726465364121,0.00104058272632674,"0",45
"46",0.468916518650089,0,"0",46
"47",0.413854351687389,0.00416233090530697,"0",47
"48",0.365896980461812,0.0114464099895942,"0",48
"49",0.325044404973357,0.0208116545265349,"0",49
"50",0.282415630550622,0.0332986472424558,"0",50
"51",0.246891651865009,0.0468262226847034,"0",51
"52",0.207815275310835,0.0655567117585848,"0",52
"53",0.175843694493783,0.0853277835587929,"0",53
"54",0.143872113676732,0.111342351716961,"0",54
"55",0.126110124333925,0.129032258064516,"0",55
"56",0.0781527531083481,0.186264308012487,"0",56
"57",0.0408525754884547,0.244536940686785,"0",57
"58",0.019538188277087,0.294484911550468,"0",58
"59",0.00710479573712256,0.341311134235172,"0",59
"60",0.00177619893428064,0.380853277835588,"0",60
"61",0,0.578563995837669,"0",61
"62",0.108348134991119,0.570239334027055,"0",62
"63",0.108348134991119,0.429760665972945,"0",63
"64",0.11190053285968,0.380853277835588,"0",64
"65",0.120781527531083,0.337148803329865,"0",65
"66",0.134991119005329,0.295525494276795,"0",66
"67",0.170515097690941,0.228928199791883,"0",67
"68",0.19538188277087,0.193548387096774,"0",68
"69",0.22202486678508,0.162330905306972,"0",69
"70",0.24866785079929,0.13735691987513,"0",70
"71",0.266429840142096,0.123829344432882,"0",71
"72",0.291296625222025,0.109261186264308,"0",72
"73",0.335701598579041,0.0894901144640999,"0",73
"74",0.381882770870337,0.0759625390218522,"0",74
"75",0.412078152753108,0.0697190426638918,"0",75
"76",0.454706927175844,0.0645161290322581,"0",76
"77",0.529307282415631,0.0634755463059313,"0",77
"78",0.550621669626998,0.0645161290322581,"0",78
"79",0.591474245115453,0.0697190426638918,"0",79
"80",0.628774422735346,0.0780437044745057,"0",80
"81",0.648312611012433,0.0842872008324662,"0",81
"82",0.664298401420959,0.0894901144640999,"0",82
"83",0.69449378330373,0.103017689906348,"0",83
"84",0.735346358792185,0.126951092611863,"0",84
"85",0.767317939609236,0.151925078043704,"0",85
"86",0.793960923623446,0.177939646201873,"0",86
"87",0.834813499111901,0.22996878251821,"0",87
"88",0.852575488454707,0.260145681581686,"0",88
"89",0.868561278863233,0.295525494276795,"0",89
"90",0.886323268206039,0.355879292403746,"0",90
"91",0.891651865008881,0.393340270551509,"0",91
"92",0.891651865008881,0.599375650364204,"0",92
"93",0.880994671403197,0.662851196670135,"0",93
"94",0.868561278863233,0.700312174817898,"0",94
"95",0.857904085257549,0.723204994797086,"0",95
"96",0.827708703374778,0.77627471383975,"0",96
"97",0.80461811722913,0.808532778355879,"0",97
"98",0.779751332149201,0.837669094693028,"0",98
"99",0.74955595026643,0.86576482830385,"0",99
"100",0.706927175843694,0.892819979188345,"0",100
"101",0.660746003552398,0.912591050988554,"0",101
"102",0.605683836589698,0.927159209157128,"0",102
"103",0.547069271758437,0.935483870967742,"0",103
"104",0.474245115452931,0.936524453694069,"0",104
"105",0.412078152753108,0.930280957336108,"0",105
"106",0.374777975133215,0.921956295525494,"0",106
"107",0.351687388987567,0.914672216441207,"0",107
"108",0.303730017761989,0.894901144640999,"0",108
"109",0.268206039076377,0.874089490114464,"0",109
"110",0.238010657193606,0.851196670135276,"0",110
"111",0.204262877442274,0.81789802289282,"0",111
"112",0.16696269982238,0.77003121748179,"0",112
"113",0.134991119005329,0.709677419354839,"0",113
"114",0.122557726465364,0.674297606659729,"0",114
"115",0.1101243339254,0.607700312174818,"0",115
"116",0.1101243339254,0.571279916753382,"0",116
