"index","x","y","letter","order"
"5422",0.00130208333333333,0.570719602977667,"σ",3
"5423",0.00651041666666667,0.614143920595533,"σ",4
"5424",0.0130208333333333,0.648883374689826,"σ",5
"5425",0.0260416666666667,0.696029776674938,"σ",6
"5426",0.0494791666666667,0.754342431761787,"σ",7
"5427",0.0794270833333333,0.807692307692308,"σ",8
"5428",0.110677083333333,0.849875930521092,"σ",9
"5429",0.15625,0.895781637717122,"σ",10
"5430",0.1796875,0.91439205955335,"σ",11
"5431",0.21484375,0.937965260545906,"σ",12
"5432",0.2578125,0.96029776674938,"σ",13
"5433",0.295572916666667,0.975186104218362,"σ",14
"5434",0.338541666666667,0.987593052109181,"σ",15
"5435",0.38671875,0.996277915632754,"σ",16
"5436",0.430989583333333,1,"σ",17
"5437",1,1,"σ",18
"5438",1,0.863523573200993,"σ",19
"5439",0.73046875,0.862282878411911,"σ",20
"5440",0.734375,0.857320099255583,"σ",21
"5441",0.77734375,0.823821339950372,"σ",22
"5442",0.807291666666667,0.794044665012407,"σ",23
"5443",0.838541666666667,0.755583126550868,"σ",24
"5444",0.864583333333333,0.714640198511166,"σ",25
"5445",0.885416666666667,0.6712158808933,"σ",26
"5446",0.90234375,0.621588089330025,"σ",27
"5447",0.912760416666667,0.574441687344913,"σ",28
"5448",0.919270833333333,0.517369727047146,"σ",29
"5449",0.919270833333333,0.428039702233251,"σ",30
"5450",0.915364583333333,0.390818858560794,"σ",31
"5451",0.907552083333333,0.34863523573201,"σ",32
"5452",0.888020833333333,0.285359801488834,"σ",33
"5453",0.860677083333333,0.227047146401985,"σ",34
"5454",0.838541666666667,0.19106699751861,"σ",35
"5455",0.803385416666667,0.146401985111663,"σ",36
"5456",0.766927083333333,0.110421836228288,"σ",37
"5457",0.721354166666667,0.075682382133995,"σ",38
"5458",0.686197916666667,0.054590570719603,"σ",39
"5459",0.65625,0.0397022332506203,"σ",40
"5460",0.614583333333333,0.0235732009925558,"σ",41
"5461",0.579427083333333,0.0136476426799007,"σ",42
"5462",0.513020833333333,0.00248138957816377,"σ",43
"5463",0.463541666666667,0,"σ",44
"5464",0.421875,0.00124069478908189,"σ",45
"5465",0.360677083333333,0.0086848635235732,"σ",46
"5466",0.322916666666667,0.0173697270471464,"σ",47
"5467",0.287760416666667,0.0285359801488834,"σ",48
"5468",0.2421875,0.0483870967741935,"σ",49
"5469",0.220052083333333,0.0607940446650124,"σ",50
"5470",0.186197916666667,0.0831265508684863,"σ",51
"5471",0.161458333333333,0.102977667493797,"σ",52
"5472",0.115885416666667,0.148883374689826,"σ",53
"5473",0.0950520833333333,0.174937965260546,"σ",54
"5474",0.07421875,0.205955334987593,"σ",55
"5475",0.04296875,0.266749379652605,"σ",56
"5476",0.0208333333333333,0.331265508684864,"σ",57
"5477",0.0078125,0.392059553349876,"σ",58
"5478",0,0.470223325062035,"σ",59
"5479",0,0.552109181141439,"σ",60
"5480",0.17578125,0.544665012406948,"σ",61
"5481",0.174479166666667,0.488833746898263,"σ",62
"5482",0.178385416666667,0.426799007444169,"σ",63
"5483",0.186197916666667,0.378411910669975,"σ",64
"5484",0.197916666666667,0.334987593052109,"σ",65
"5485",0.21484375,0.292803970223325,"σ",66
"5486",0.235677083333333,0.255583126550869,"σ",67
"5487",0.264322916666667,0.218362282878412,"σ",68
"5488",0.30078125,0.184863523573201,"σ",69
"5489",0.33203125,0.165012406947891,"σ",70
"5490",0.352864583333333,0.155086848635236,"σ",71
"5491",0.377604166666667,0.146401985111663,"σ",72
"5492",0.420572916666667,0.137717121588089,"σ",73
"5493",0.466145833333333,0.135235732009926,"σ",74
"5494",0.516927083333333,0.140198511166253,"σ",75
"5495",0.5546875,0.150124069478908,"σ",76
"5496",0.591145833333333,0.166253101736973,"σ",77
"5497",0.627604166666667,0.19106699751861,"σ",78
"5498",0.654947916666667,0.21712158808933,"σ",79
"5499",0.670572916666667,0.235732009925558,"σ",80
"5500",0.692708333333333,0.269230769230769,"σ",81
"5501",0.712239583333333,0.310173697270471,"σ",82
"5502",0.725260416666667,0.34863523573201,"σ",83
"5503",0.736979166666667,0.400744416873449,"σ",84
"5504",0.743489583333333,0.452853598014888,"σ",85
"5505",0.74609375,0.527295285359802,"σ",86
"5506",0.743489583333333,0.574441687344913,"σ",87
"5507",0.73828125,0.61166253101737,"σ",88
"5508",0.729166666666667,0.65136476426799,"σ",89
"5509",0.71484375,0.692307692307692,"σ",90
"5510",0.700520833333333,0.722084367245658,"σ",91
"5511",0.678385416666667,0.75682382133995,"σ",92
"5512",0.658854166666667,0.780397022332506,"σ",93
"5513",0.625,0.811414392059553,"σ",94
"5514",0.592447916666667,0.832506203473945,"σ",95
"5515",0.55859375,0.847394540942928,"σ",96
"5516",0.528645833333333,0.856079404466501,"σ",97
"5517",0.48828125,0.862282878411911,"σ",98
"5518",0.4296875,0.862282878411911,"σ",99
"5519",0.39453125,0.857320099255583,"σ",100
"5520",0.359375,0.847394540942928,"σ",101
"5521",0.319010416666667,0.8287841191067,"σ",102
"5522",0.291666666666667,0.810173697270472,"σ",103
"5523",0.256510416666667,0.776674937965261,"σ",104
"5524",0.233072916666667,0.745657568238213,"σ",105
"5525",0.217447916666667,0.718362282878412,"σ",106
"5526",0.204427083333333,0.688585607940447,"σ",107
"5527",0.190104166666667,0.642679900744417,"σ",108
"5528",0.180989583333333,0.595533498759305,"σ",109
"5529",0.177083333333333,0.54590570719603,"σ",110
"5530",0.17578125,0.544665012406948,"σ",111
"5531",0,0.552109181141439,"σ",112
"5532",0,1,"τ",1
"5533",1,1,"τ",2
"5534",1,0.866004962779156,"τ",3
"5535",0.591527987897126,0.866004962779156,"τ",4
"5536",0.588502269288956,0.863523573200993,"τ",5
"5537",0.588502269288956,0.251861042183623,"τ",6
"5538",0.591527987897126,0.225806451612903,"τ",7
"5539",0.597579425113464,0.203473945409429,"τ",8
"5540",0.611195158850227,0.178660049627792,"τ",9
"5541",0.632375189107413,0.158808933002481,"τ",10
"5542",0.655068078668684,0.147642679900744,"τ",11
"5543",0.6732223903177,0.142679900744417,"τ",12
"5544",0.692889561270802,0.140198511166253,"τ",13
"5545",0.732223903177005,0.141439205955335,"τ",14
"5546",0.776096822995461,0.15136476426799,"τ",15
"5547",0.807866868381241,0.163771712158809,"τ",16
"5548",0.853252647503782,0.0496277915632754,"τ",17
