"index","x","y","letter","order"
"1",0,0.536443148688047,"0",1
"2",0.0015600624024961,0.537414965986395,"0",2
"3",0.0062402496099844,0.588921282798834,"0",3
"4",0.0202808112324493,0.652089407191448,"0",4
"5",0.046801872074883,0.72108843537415,"0",5
"6",0.0795631825273011,0.778425655976676,"0",6
"7",0.124804992199688,0.835762876579203,"0",7
"8",0.170046801872075,0.879494655004859,"0",8
"9",0.226209048361934,0.920310981535471,"0",9
"10",0.268330733229329,0.943634596695821,"0",10
"11",0.288611544461778,0.9533527696793,"0",11
"12",0.34009360374415,0.973760932944606,"0",12
"13",0.396255850234009,0.989310009718173,"0",13
"14",0.435257410296412,0.996112730806608,"0",14
"15",0.461778471138846,0.999028182701652,"0",15
"16",0.527301092043682,1,"0",16
"17",0.549141965678627,0.999028182701652,"0",17
"18",0.58814352574103,0.994169096209913,"0",18
"19",0.630265210608424,0.985422740524781,"0",19
"20",0.672386895475819,0.972789115646258,"0",20
"21",0.711388455538221,0.957240038872692,"0",21
"22",0.74414976599064,0.940719144800777,"0",22
"23",0.776911076443058,0.921282798833819,"0",23
"24",0.826833073322933,0.885325558794947,"0",24
"25",0.864274570982839,0.852283770651118,"0",25
"26",0.887675507020281,0.827016520894072,"0",26
"27",0.901716068642746,0.811467444120505,"0",27
"28",0.931357254290172,0.769679300291545,"0",28
"29",0.956318252730109,0.724003887269193,"0",29
"30",0.976599063962558,0.673469387755102,"0",30
"31",0.990639625585023,0.620019436345967,"0",31
"32",0.998439937597504,0.568513119533528,"0",32
"33",1,0.462585034013605,"0",33
"34",0.990639625585023,0.389698736637512,"0",34
"35",0.981279251170047,0.349854227405248,"0",35
"36",0.957878315132605,0.284742468415938,"0",36
"37",0.926677067082683,0.227405247813411,"0",37
"38",0.90795631825273,0.20019436345967,"0",38
"39",0.8798751950078,0.165208940719145,"0",39
"40",0.859594383775351,0.143828960155491,"0",40
"41",0.811232449297972,0.102040816326531,"0",41
"42",0.762870514820593,0.0709426627793975,"0",42
"43",0.72386895475819,0.0515063168124393,"0",43
"44",0.695787831513261,0.0398445092322643,"0",44
"45",0.634945397815913,0.0194363459669582,"0",45
"46",0.578783151326053,0.00680272108843537,"0",46
"47",0.521060842433697,0,"0",47
"48",0.460218408736349,0,"0",48
"49",0.435257410296412,0.00194363459669582,"0",49
"50",0.405616224648986,0.00583090379008746,"0",50
"51",0.371294851794072,0.0126336248785228,"0",51
"52",0.335413416536661,0.0223517978620019,"0",52
"53",0.305772230889236,0.033041788143829,"0",53
"54",0.266770670826833,0.0505344995140913,"0",54
"55",0.243369734789392,0.0631681243926142,"0",55
"56",0.209048361934477,0.0855199222546161,"0",56
"57",0.180967238689548,0.10689990281827,"0",57
"58",0.154446177847114,0.13022351797862,"0",58
"59",0.124804992199688,0.160349854227405,"0",59
"60",0.0811232449297972,0.215743440233236,"0",60
"61",0.046801872074883,0.274052478134111,"0",61
"62",0.0296411856474259,0.313896987366375,"0",62
"63",0.015600624024961,0.357628765792031,"0",63
"64",0.0062402496099844,0.400388726919339,"0",64
"65",0,0.45578231292517,"0",65
"66",0,0.536443148688047,"0",66
"67",0.223088923556942,0.526724975704568,"0",67
"68",0.224648985959438,0.403304178814383,"0",68
"69",0.232449297971919,0.338192419825073,"0",69
"70",0.241809672386895,0.292517006802721,"0",70
"71",0.263650546021841,0.223517978620019,"0",71
"72",0.282371294851794,0.181729834791059,"0",72
"73",0.301092043681747,0.14868804664723,"0",73
"74",0.316692667706708,0.126336248785228,"0",74
"75",0.333853354134165,0.10689990281827,"0",75
"76",0.355694227769111,0.0874635568513119,"0",76
"77",0.383775351014041,0.0689990281827016,"0",77
"78",0.407176287051482,0.0583090379008746,"0",78
"79",0.435257410296412,0.0495626822157434,"0",79
